X,Y
106,147
105,146
100,155
93,150
99,152
103,146
98,151
97,150
109,152
93,148
108,153
101,148
103,142
109,152
107,148
106,151
108,159
104,149
100,145
101,154
102,155
101,150
100,155
112,153
105,148
102,147
108,139
102,153
100,151
105,156
93,154
115,150
105,154
97,156
98,149
102,149
111,150
104,149
93,156
112,149
95,150
99,146
106,147
108,147
99,148
103,146
106,143
108,151
91,158
103,152
108,155
100,153
92,155
104,151
102,149
105,146
99,150
98,151
103,146
100,151
109,150
105,150
109,150
106,153
101,150
103,150
110,149
107,142
106,153
107,154
92,149
100,147
108,153
108,153
94,155
110,157
102,147
112,145
101,148
96,149
112,149
100,149
112,153
102,153
104,153
95,156
104,157
108,149
102,145
108,145
108,149
104,149
105,146
103,148
101,148
109,150
99,152
109,148
102,147
106,151
96,143
103,148
97,154
105,146
107,150
111,150
95,152
105,152
109,148
108,151
99,146
104,153
109,150
105,148
99,148
102,147
101,154
90,157
106,153
99,156
88,155
106,147
109,146
98,147
99,150
94,151
104,153
104,151
107,154
105,152
93,152
98,157
107,150
106,147
105,148
101,152
105,144
107,146
108,147
103,152
92,153
104,153
103,146
99,144
109,150
108,151
106,151
97,150
108,153
103,146
102,145
104,149
106,153
107,156
99,152
103,148
102,151
107,146
112,153
98,147
107,146
102,147
107,152
100,151
98,151
106,145
100,147
105,152
90,151
105,158
103,148
94,151
95,154
102,151
104,143
108,155
102,153
99,148
107,148
98,149
100,151
104,151
98,157
103,148
103,156
110,151
95,150
94,149
108,149
104,153
109,150
107,144
97,148
97,146
99,146
96,157
98,151
102,149
101,148
100,149
106,149
103,152
99,154
89,152
103,148
103,148
110,147
101,146
113,148
91,146
104,155
95,148
100,149
100,153
108,141
97,142
91,148
97,154
99,144
101,158
95,152
108,145
102,149
110,153
102,147
107,160
104,147
95,154
99,148
96,149
107,154
96,151
104,151
104,153
96,149
103,148
110,149
94,147
99,148
97,146
101,142
95,148
104,155
97,148
97,144
108,149
108,151
102,157
99,150
98,145
107,148
93,144
102,149
96,153
103,146
106,151
96,149
102,153
113,148
109,142
96,159
105,154
99,152
106,145
94,145
104,149
104,153
101,146
104,149
97,154
92,157
109,158
102,151
103,144
108,143
96,149
103,152
104,151
99,148
103,152
100,143
101,148
107,146
106,151
106,153
99,150
93,156
102,145
106,147
103,150
101,154
103,150
99,148
96,147
100,143
107,146
110,149
109,154
105,152
101,152
109,148
101,154
104,155
105,148
104,147
104,147
104,155
99,152
105,150
109,148
93,152
99,154
99,158
104,151
99,154
106,161
109,152
108,151
94,153
102,147
97,152
98,149
101,160
102,147
107,148
104,147
103,150
108,151
107,150
103,156
112,155
102,147
104,157
109,154
111,146
101,152
103,150
100,161
94,155
106,149
107,154
99,148
104,151
101,152
108,151
108,151
106,153
98,149
104,141
101,148
97,148
104,147
99,146
94,155
94,155
97,146
113,156
100,149
110,145
98,153
109,148
102,145
104,155
107,150
96,149
94,147
111,146
102,151
100,153
107,148
105,144
102,153
102,149
105,152
105,152
103,146
100,149
110,153
109,150
106,147
99,148
104,153
107,152
101,150
106,151
112,151
105,152
105,148
98,151
106,153
107,152
102,151
105,148
101,152
100,147
104,149
104,151
98,145
104,149
105,154
97,150
100,151
105,148
106,151
106,155
94,151
109,144
93,146
103,154
103,154
99,146
102,153
99,154
99,154
110,147
97,146
109,150
104,151
103,150
103,148
105,152
106,145
110,149
103,150
103,148
105,148
104,155
97,140
101,150
102,147
104,141
101,150
107,154
101,152
98,147
105,148
110,155
94,153
100,153
102,149
109,144
107,152
104,149
105,150
101,152
100,151
95,156
105,146
89,152
103,150
101,144
106,149
104,149
100,143
100,155
104,153
97,156
105,148
103,146
91,148
108,147
98,153
100,145
96,155
98,157
101,144
101,152
111,154
103,144
95,156
109,150
99,150
105,150
99,150
98,151
103,158
111,148
103,152
115,150
99,150
106,151
105,148
102,151
104,147
98,151
108,151
101,154
97,152
92,149
103,148
96,151
101,156
103,154
103,158
110,151
101,150
104,151
107,146
101,154
110,145
101,148
102,155
98,153
101,150
103,144
111,148
103,152
106,143
94,151
100,147
103,154
97,158
110,149
103,144
112,149
102,155
105,148
97,150
106,149
101,154
107,150
102,153
104,153
107,150
101,150
106,151
105,150
104,153
106,151
99,152
106,151
105,152
105,142
91,152
107,142
100,149
103,148
110,147
94,157
105,156
101,150
102,147
101,156
110,141
106,149
102,155
96,143
98,151
95,154
99,148
100,141
105,150
106,147
106,151
100,145
105,146
104,141
97,144
100,157
96,147
98,149
95,150
100,155
99,158
97,146
103,150
98,151
103,146
100,147
94,151
108,153
104,151
103,146
92,157
106,149
104,149
109,146
109,148
98,143
108,159
108,149
104,145
103,152
98,147
107,156
97,146
101,152
100,149
106,151
104,149
95,152
105,152
102,143
103,158
97,144
107,144
102,155
107,146
89,154
95,154
100,147
106,149
103,150
101,148
98,149
105,152
109,150
109,148
103,150
93,150
104,155
110,155
111,150
99,144
100,145
111,154
108,153
105,150
105,154
111,148
106,151
102,153
102,145
101,152
107,152
102,153
103,158
100,149
97,150
98,155
99,154
101,146
95,148
113,148
106,149
108,147
99,146
103,150
111,150
101,154
104,151
104,151
101,152
105,150
96,153
104,153
98,153
93,152
111,150
100,151
111,156
104,151
101,150
97,154
105,148
108,159
107,150
99,152
109,152
94,147
102,153
97,156
107,148
100,145
88,151
105,152
101,150
105,148
101,154
113,152
103,150
101,150
105,150
105,154
98,151
102,155
106,149
101,148
106,155
102,153
112,151
105,150
104,151
96,149
101,152
110,147
107,146
105,150
105,148
97,148
115,142
99,156
108,151
104,149
85,150
102,145
109,144
103,152
101,154
100,149
96,151
98,145
101,156
105,148
107,146
102,155
102,153
100,153
108,153
95,152
104,155
104,145
100,147
109,150
97,146
102,149
100,149
110,151
98,153
102,147
100,149
108,149
101,152
105,148
98,147
100,153
102,157
107,148
103,150
99,150
103,142
109,154
102,153
101,152
105,152
106,151
99,156
102,147
106,147
100,155
106,151
99,158
97,150
101,152
97,144
96,149
103,152
103,152
92,145
103,150
94,151
104,147
104,155
110,151
102,147
109,148
111,146
105,144
108,149
94,155
96,151
103,154
100,151
106,153
111,150
104,149
104,151
107,146
99,148
105,152
103,148
101,152
104,157
100,147
105,150
103,156
101,146
100,147
104,153
95,152
99,146
107,150
108,155
96,153
97,150
101,152
107,148
106,151
108,159
104,151
94,155
105,146
99,152
103,150
109,148
93,148
101,150
97,152
104,149
103,154
103,156
110,143
98,151
104,153
109,152
101,146
109,152
105,152
108,149
108,157
104,147
106,151
104,153
91,148
107,156
102,151
